City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Podporozhye,60.9112,34.1706,34.48,98,100,11.77,RU,2023-01-26 01:09:31
68,Malanje,-9.5402,16.341,61.5,94,100,2.13,AO,2023-01-26 01:09:32
69,Viedma,-40.8135,-62.9967,78.1,32,62,6.04,AR,2023-01-26 01:09:32
70,Saskylakh,71.9167,114.0833,-27.96,97,100,9.73,RU,2023-01-26 01:09:33
71,Mataura,-46.1927,168.8643,79.36,29,87,4.5,NZ,2023-01-26 01:09:33
72,Cape Town,-33.9258,18.4232,63.91,74,12,10.0,ZA,2023-01-26 01:06:04
73,Quatre Cocos,-20.2078,57.7625,74.08,93,100,15.95,MU,2023-01-26 01:09:34
74,Atuona,-9.8,-139.0333,78.57,75,80,15.14,PF,2023-01-26 01:09:34
75,Leningradskiy,69.3833,178.4167,-21.19,89,3,4.0,RU,2023-01-26 01:09:34
76,Ozernovskiy,51.5,156.5167,27.93,95,100,13.38,RU,2023-01-26 01:09:35
77,Belyy Yar,53.6039,91.3903,17.49,69,0,15.66,RU,2023-01-26 01:09:35
78,Rikitea,-23.1203,-134.9692,79.5,76,100,14.7,PF,2023-01-26 01:09:36
79,Puerto Ayora,-0.7393,-90.3518,76.55,92,82,5.01,EC,2023-01-26 01:09:36
80,Avarua,-21.2078,-159.775,82.45,83,20,6.91,CK,2023-01-26 01:09:37
81,Victoria,22.2855,114.1577,60.24,72,41,5.01,HK,2023-01-26 01:08:10
82,Hurricane,37.1753,-113.2899,43.32,58,2,7.67,US,2023-01-26 01:09:37
83,Reyes,-14.3167,-67.3833,77.31,77,30,2.82,BO,2023-01-26 01:09:38
84,Oriximina,-1.7656,-55.8661,74.16,93,100,2.46,BR,2023-01-26 01:09:38
85,Samarai,-10.6167,150.6667,79.0,88,100,9.4,PG,2023-01-26 01:09:39
86,Ambon,-3.6954,128.1814,82.54,83,20,3.44,ID,2023-01-26 01:09:39
87,Te Anau,-45.4167,167.7167,74.25,37,7,8.63,NZ,2023-01-26 01:09:40
88,Svetlyy,54.675,20.1347,28.96,88,100,10.07,RU,2023-01-26 01:09:40
89,Dingalan,15.3897,121.3929,75.33,72,97,9.64,PH,2023-01-26 01:09:41
90,Severo-Kurilsk,50.6789,156.125,26.44,86,100,16.78,RU,2023-01-26 01:09:41
91,Shihezi,44.3,86.0333,-10.01,93,59,3.15,CN,2023-01-26 01:09:42
92,Cockburn Town,21.4612,-71.1419,76.96,73,40,11.5,TC,2023-01-26 01:09:42
93,Bela,25.9333,81.9833,59.7,91,72,6.29,IN,2023-01-26 01:09:43
94,Nizwa,22.9333,57.5333,57.78,65,100,6.35,OM,2023-01-26 01:09:43
95,Doha,25.2867,51.5333,66.18,82,75,12.66,QA,2023-01-26 01:08:22
96,Kodiak,57.79,-152.4072,42.31,65,0,9.22,US,2023-01-26 01:09:44
97,Pevek,69.7008,170.3133,-18.38,79,1,0.36,RU,2023-01-26 01:09:44
98,Waipawa,-41.4122,175.5153,72.5,57,99,2.91,NZ,2023-01-26 01:09:45
99,Coihaique,-45.5752,-72.0662,49.95,76,20,6.91,CL,2023-01-26 01:09:45
100,Sabang,5.8933,95.3214,79.57,78,100,17.54,ID,2023-01-26 01:09:46
101,Angul,20.85,85.1,60.6,70,0,1.57,IN,2023-01-26 01:09:47
102,Asfi,32.2994,-9.2372,49.51,73,2,16.13,MA,2023-01-26 01:09:47
103,Kapaa,22.0752,-159.319,79.12,74,75,18.41,US,2023-01-26 01:09:47
104,Mar Del Plata,-38.0023,-57.5575,69.1,78,0,20.0,AR,2023-01-26 01:07:20
105,Mildura,-34.2,142.15,74.07,54,77,16.64,AU,2023-01-26 01:09:48
106,Longkou,37.6508,120.3286,27.41,47,100,8.61,CN,2023-01-26 01:09:48
107,Carnarvon,-24.8667,113.6333,84.83,57,0,7.94,AU,2023-01-26 01:09:49
108,Alofi,-19.0595,-169.9187,82.29,83,75,4.61,NU,2023-01-26 01:09:49
109,Erzin,36.9559,36.2,49.19,59,1,4.12,TR,2023-01-26 01:09:50
110,Port Alfred,-33.5906,26.891,66.18,91,1,1.99,ZA,2023-01-26 01:09:50
111,Ordu,40.9086,37.6845,32.5,90,92,0.45,TR,2023-01-26 01:09:51
112,Ibra,22.6906,58.5334,57.04,62,88,1.68,OM,2023-01-26 01:09:51
113,Oktyabrskoye,43.0645,44.7417,26.74,86,6,2.24,RU,2023-01-26 01:09:52
114,Buala,-8.145,159.5921,84.49,72,100,8.1,SB,2023-01-26 01:09:52
115,Lasa,46.6166,10.7002,27.01,56,35,4.07,IT,2023-01-26 01:09:52
116,Palmer,42.1584,-72.3287,34.63,86,100,5.01,US,2023-01-26 01:09:05
117,Narsaq,60.9167,-46.05,32.22,99,100,7.52,GL,2023-01-26 01:09:53
118,Qasigiannguit,68.8193,-51.1922,23.25,91,100,0.98,GL,2023-01-26 01:09:53
119,Vila Franca Do Campo,37.7167,-25.4333,59.41,82,81,14.61,PT,2023-01-26 01:09:54
120,Kampong Cham,11.9934,105.4635,72.48,64,38,11.88,KH,2023-01-26 01:09:54
121,Biloxi,30.396,-88.8853,48.25,71,0,10.36,US,2023-01-26 01:09:29
122,Saldanha,-33.0117,17.9442,62.67,84,0,18.03,ZA,2023-01-26 01:09:55
123,Mount Isa,-20.7333,139.5,91.17,40,39,4.61,AU,2023-01-26 01:09:56
124,Tanout,14.9709,8.8879,68.95,11,0,8.57,NE,2023-01-26 01:09:56
125,Paamiut,61.994,-49.6678,28.45,96,100,15.95,GL,2023-01-26 01:09:57
126,Klaksvik,62.2266,-6.589,36.52,71,100,17.22,FO,2023-01-26 01:09:57
127,Yulara,-25.2406,130.9889,93.47,20,10,8.28,AU,2023-01-26 01:09:58
128,Provideniya,64.3833,-173.3,-9.29,84,100,17.9,RU,2023-01-26 01:09:58
129,Yellowknife,62.456,-114.3525,3.72,85,75,11.5,CA,2023-01-26 01:09:59
130,Pasni,25.2631,63.471,57.79,36,0,20.29,PK,2023-01-26 01:09:59
131,Nyurba,63.2842,118.3319,-52.2,100,100,2.15,RU,2023-01-26 01:10:00
132,Dukat,62.55,155.55,-10.57,98,100,5.01,RU,2023-01-26 01:10:00
133,Atar,20.5169,-13.0499,70.16,14,100,8.7,MR,2023-01-26 01:10:01
134,Talhar,24.8833,68.8167,50.09,21,0,9.06,PK,2023-01-26 01:10:01
135,Beira,-19.8436,34.8389,77.85,77,100,14.25,MZ,2023-01-26 01:10:02
136,Ahuimanu,21.4447,-157.8378,80.31,60,75,12.66,US,2023-01-26 01:10:03
137,Riosucio,5.4216,-75.7032,58.62,97,99,2.06,CO,2023-01-26 01:06:32
138,Saint-Pierre,-21.3393,55.4781,74.88,83,100,8.05,RE,2023-01-26 01:10:03
139,Garowe,8.4054,48.4845,64.54,82,5,11.32,SO,2023-01-26 01:10:04
140,San Jose,37.3394,-121.895,62.74,52,0,0.0,US,2023-01-26 01:05:09
141,Kushima,31.4583,131.2333,45.32,54,80,4.65,JP,2023-01-26 01:10:05
142,Thompson,55.7435,-97.8558,-16.06,93,5,4.61,CA,2023-01-26 01:10:06
143,Pangkalanbuun,-2.6833,111.6167,74.77,97,100,2.35,ID,2023-01-26 01:10:06
144,Caravelas,-17.7125,-39.2481,77.52,83,100,8.05,BR,2023-01-26 01:10:07
145,Niamey,13.5137,2.1098,77.65,13,6,7.0,NE,2023-01-26 01:10:07
146,Mae Sai,20.4335,99.8762,61.5,79,6,1.05,TH,2023-01-26 01:10:08
147,Dunedin,-45.8742,170.5036,69.8,73,40,1.99,NZ,2023-01-26 01:10:08
148,Nikolskoye,59.7035,30.7861,37.29,97,100,10.38,RU,2023-01-26 01:10:09
149,Ilebo,-4.3167,20.5833,66.25,94,100,2.1,CD,2023-01-26 01:10:09
150,Suez,29.9737,32.5263,54.14,76,0,7.14,EG,2023-01-26 01:10:10
151,Ribeira Grande,38.5167,-28.7,59.77,70,51,4.0,PT,2023-01-26 01:10:10
152,Barrow,71.2906,-156.7887,-16.58,76,0,14.97,US,2023-01-26 01:09:25
153,Talnakh,69.4865,88.3972,-3.8,93,100,16.51,RU,2023-01-26 01:10:11
154,Gamba,-2.65,10.0,78.17,87,96,5.93,GA,2023-01-26 01:10:12
155,Sao Joao Da Barra,-21.6403,-41.0511,73.53,90,99,8.66,BR,2023-01-26 01:05:14
156,Portobelo,9.55,-79.65,81.05,86,100,10.51,PA,2023-01-26 01:10:13
157,Beringovskiy,63.05,179.3167,-11.88,85,3,10.6,RU,2023-01-26 01:10:13
158,Burgeo,47.6167,-57.6152,16.65,75,42,8.21,CA,2023-01-26 01:10:14
159,Puerto Escondido,15.85,-97.0667,79.63,69,40,0.0,MX,2023-01-26 01:10:14
160,Constitucion,-35.3333,-72.4167,55.96,80,0,15.08,CL,2023-01-26 01:10:15
161,Kumukh,42.1704,47.1161,21.81,26,0,3.78,RU,2023-01-26 01:10:16
162,Hasaki,35.7333,140.8333,39.29,30,2,8.9,JP,2023-01-26 01:10:16
163,Tiznit,29.5833,-9.5,46.71,68,0,5.39,MA,2023-01-26 01:10:16
164,Tilichiki,60.4667,166.1,1.62,70,98,18.92,RU,2023-01-26 01:10:17
165,Saint-Georges,12.0564,-61.7485,76.68,78,20,11.5,GD,2023-01-26 01:10:17
166,Katsuura,35.1333,140.3,39.92,45,6,5.28,JP,2023-01-26 01:10:18
167,Jalu,29.0331,21.5482,58.93,43,0,19.1,LY,2023-01-26 01:10:18
168,Alice Springs,-23.7,133.8833,94.55,40,21,5.75,AU,2023-01-26 01:10:19
169,Ponta Do Sol,32.6667,-17.1,61.72,60,17,11.59,PT,2023-01-26 01:10:19
170,Los Llanos De Aridane,28.6585,-17.9182,60.55,69,100,20.0,ES,2023-01-26 01:10:20
171,Shingu,33.7333,135.9833,41.14,42,1,4.7,JP,2023-01-26 01:10:20
172,Nelson Bay,-32.7167,152.15,88.09,73,0,5.99,AU,2023-01-26 01:07:25
173,Krasne,49.9145,24.6134,28.15,78,54,5.93,UA,2023-01-26 01:10:21
174,Druzhba,52.0428,33.9453,24.19,83,6,4.38,UA,2023-01-26 01:10:22
175,Recodo,6.9519,121.9636,86.02,62,40,2.3,PH,2023-01-26 01:10:22
176,Lata,40.1629,-8.3327,35.08,81,3,3.36,PT,2023-01-26 01:10:23
177,Kavaratti,10.5669,72.642,79.05,80,99,15.55,IN,2023-01-26 01:10:23
178,Cidreira,-30.1811,-50.2056,76.89,83,6,13.96,BR,2023-01-26 01:09:51
179,Bissau,11.8636,-15.5977,73.65,63,56,8.93,GW,2023-01-26 01:10:24
180,Berlevag,70.8578,29.0864,33.8,80,75,27.63,NO,2023-01-26 01:10:24
181,Pisco,-13.7,-76.2167,73.45,83,75,6.91,PE,2023-01-26 01:10:25
182,Buritama,-21.0661,-50.1472,74.8,70,0,6.96,BR,2023-01-26 01:10:25
183,Tessalit,20.1986,1.0114,68.45,15,56,7.87,ML,2023-01-26 01:10:26
184,Taoudenni,22.6783,-3.9836,65.97,14,97,8.77,ML,2023-01-26 01:10:26
185,Khatanga,71.9667,102.5,-14.66,86,100,9.08,RU,2023-01-26 01:10:27
186,Kununurra,-15.7667,128.7333,78.78,94,75,5.75,AU,2023-01-26 01:10:27
187,Ler,8.3018,30.1418,79.56,29,83,4.68,SS,2023-01-26 01:10:28
188,Bajos De Haina,18.4154,-70.0332,76.96,83,20,0.0,DO,2023-01-26 01:10:28
189,Synya,65.3718,58.0387,23.11,95,100,12.71,RU,2023-01-26 01:10:29
190,Vidalia,32.2177,-82.4135,60.75,88,100,5.75,US,2023-01-26 01:10:29
191,The Pas,53.8251,-101.2541,-0.51,100,82,3.91,CA,2023-01-26 01:10:30
192,Bethel,41.3712,-73.414,41.36,86,100,14.97,US,2023-01-26 01:10:31
193,Esperance,-33.8667,121.9,70.43,64,28,6.13,AU,2023-01-26 01:10:31
194,Bangalore,12.9762,77.6033,62.24,88,40,8.05,IN,2023-01-26 01:08:53
195,Georgetown,5.4112,100.3354,78.73,74,20,3.44,MY,2023-01-26 01:06:42
196,Belaya Gora,68.5333,146.4167,-29.96,97,100,0.94,RU,2023-01-26 01:10:32
197,Muncar,-8.4333,114.3333,80.76,80,100,4.76,ID,2023-01-26 01:10:33
198,Katherine,-14.4667,132.2667,88.12,58,100,3.44,AU,2023-01-26 01:10:33
199,Saint-Augustin,51.226,-58.6502,-1.7,80,0,6.11,CA,2023-01-26 01:10:34
200,Lago Da Pedra,-4.3333,-45.1667,72.73,97,100,3.74,BR,2023-01-26 01:10:34
201,Pishin,30.5803,66.9961,30.25,45,0,3.78,PK,2023-01-26 01:10:35
202,Port Hardy,50.6996,-127.4199,44.06,92,86,1.79,CA,2023-01-26 01:10:35
203,Vanimo,-2.6741,141.3028,85.21,65,81,3.67,PG,2023-01-26 01:10:35
204,Blagoyevo,63.3667,47.9167,33.67,98,100,13.98,RU,2023-01-26 01:10:36
205,Kalmunai,7.4167,81.8167,74.77,81,100,7.16,LK,2023-01-26 01:10:36
206,Harbour Breton,47.4833,-55.7983,22.5,65,64,11.92,CA,2023-01-26 01:10:37
207,Airai,-8.9266,125.4092,70.95,63,100,1.45,TL,2023-01-26 01:10:37
208,Chokurdakh,70.6333,147.9167,-31.59,100,100,1.16,RU,2023-01-26 01:10:37
209,Batagay-Alyta,67.8006,130.4114,-32.06,94,100,1.92,RU,2023-01-26 01:10:38
210,Lakselv,70.0513,24.9718,33.62,64,100,16.11,NO,2023-01-26 01:10:38
211,Brae,60.3964,-1.353,43.54,77,100,15.66,GB,2023-01-26 01:10:39
212,Takayama,36.1333,137.25,29.39,76,100,2.33,JP,2023-01-26 01:10:39
213,Bayonet Point,28.3267,-82.6834,76.19,80,8,7.0,US,2023-01-26 01:10:40
214,Avera,33.194,-82.5271,59.05,85,99,13.62,US,2023-01-26 01:10:40
215,Hanzhong,33.0728,107.0303,37.8,60,87,1.52,CN,2023-01-26 01:06:06
216,Biltine,14.5333,20.9167,71.24,11,98,7.78,TD,2023-01-26 01:10:41
217,Matara,5.9485,80.5353,72.21,89,98,5.26,LK,2023-01-26 01:10:41
218,Skjervoy,70.0311,20.9714,33.8,69,100,31.36,NO,2023-01-26 01:10:42
219,Basco,20.4487,121.9702,72.18,68,100,22.35,PH,2023-01-26 01:10:43
220,Ukiah,39.1502,-123.2078,69.93,53,0,0.0,US,2023-01-26 01:10:43
221,Abay,49.6311,72.8539,3.58,92,90,6.55,KZ,2023-01-26 01:10:44
222,Suhbaatar,50.2314,106.2078,-25.46,99,80,3.13,MN,2023-01-26 01:10:44
223,Oistins,13.0667,-59.5333,78.89,65,40,18.41,BB,2023-01-26 01:08:09
224,Egvekinot,66.3167,-179.1667,-12.73,76,1,19.91,RU,2023-01-26 01:10:45
225,Roald,62.5833,6.1333,44.76,69,98,17.49,NO,2023-01-26 01:10:45
226,Grindavik,63.8424,-22.4338,42.75,81,75,23.02,IS,2023-01-26 01:10:46
227,Mogadishu,2.0371,45.3438,74.82,81,0,21.16,SO,2023-01-26 01:08:30
228,Westport,41.1415,-73.3579,47.55,91,100,23.02,US,2023-01-26 01:08:10
229,Makasar,-5.14,119.4221,78.85,78,20,2.3,ID,2023-01-26 01:10:46
230,Birao,10.2849,22.7882,69.06,25,59,6.11,CF,2023-01-26 01:10:47
231,Spokane,47.6166,-117.3677,34.21,83,100,0.0,US,2023-01-26 01:08:05
232,Manaure,11.7751,-72.4445,78.49,73,99,17.81,CO,2023-01-26 01:10:48
233,Ifanadiana,-21.3,47.6333,69.78,99,100,0.94,MG,2023-01-26 01:10:48
234,Sinegorye,62.0788,150.477,-15.27,99,100,2.91,RU,2023-01-26 01:10:49
235,Binga,-17.6203,27.3414,67.37,90,100,3.4,ZW,2023-01-26 01:10:49
236,Goundam,16.4145,-3.6708,75.47,14,100,10.09,ML,2023-01-26 01:10:50
237,Rio De Janeiro,-22.9028,-43.2075,77.0,78,20,8.05,BR,2023-01-26 01:07:56
238,Paita,-5.0892,-81.1144,71.15,81,77,11.79,PE,2023-01-26 01:10:50
239,Fortuna,40.5982,-124.1573,57.54,78,0,0.0,US,2023-01-26 01:10:51
240,Ostrovnoy,68.0531,39.5131,23.4,88,94,21.85,RU,2023-01-26 01:10:51
241,Isangel,-19.55,169.2667,89.71,62,40,4.61,VU,2023-01-26 01:10:52
242,Syracuse,37.0881,15.2792,45.77,73,23,8.84,IT,2023-01-26 01:10:52
243,Kaitangata,-46.2817,169.8464,71.42,55,98,7.45,NZ,2023-01-26 01:10:52
244,Bengkulu,-3.8004,102.2655,76.77,82,100,4.29,ID,2023-01-26 01:10:53
245,Kahului,20.8947,-156.47,82.42,69,20,16.11,US,2023-01-26 01:10:53
246,Smirnykh,49.75,142.8333,2.82,79,100,13.78,RU,2023-01-26 01:10:54
247,Surt,31.2089,16.5887,59.05,68,1,12.84,LY,2023-01-26 01:10:54
248,Rio Grande,-32.035,-52.0986,74.55,83,36,17.2,BR,2023-01-26 01:10:55
249,Udachnyy,66.4167,112.4,-44.95,100,75,5.82,RU,2023-01-26 01:10:55
250,Zacualpan,21.25,-105.1667,78.42,83,37,3.15,MX,2023-01-26 01:10:56
251,Nemuro,43.3236,145.575,19.26,64,90,30.24,JP,2023-01-26 01:10:56
252,Kobayashi,31.9833,130.9833,43.12,54,8,5.48,JP,2023-01-26 01:10:56
253,Mumford,5.2618,-0.759,79.56,89,12,9.66,GH,2023-01-26 01:10:57
254,Idaho Falls,43.4666,-112.0341,16.36,79,20,0.0,US,2023-01-26 01:10:54
255,Korla,41.7597,86.1469,12.52,60,72,4.25,CN,2023-01-26 01:10:57
256,Alyangula,-13.8483,136.4192,84.79,68,100,5.79,AU,2023-01-26 01:10:58
257,Torbay,47.6666,-52.7314,28.58,75,48,5.01,CA,2023-01-26 01:10:58
258,Kolokani,13.5728,-8.0339,76.5,23,35,6.2,ML,2023-01-26 01:10:59
259,Camocim,-2.9022,-40.8411,75.65,89,100,3.6,BR,2023-01-26 01:10:59
260,San Andres,12.5847,-81.7006,80.62,78,20,14.97,CO,2023-01-26 01:08:47
261,Voh,-20.9667,164.7,86.02,71,54,5.26,NC,2023-01-26 01:11:00
262,Bastrop,32.7562,-91.8724,44.69,71,100,10.36,US,2023-01-26 01:11:01
263,Natal,-5.795,-35.2094,77.65,83,20,5.75,BR,2023-01-26 01:11:01
264,Hobyo,5.3505,48.5268,75.81,68,0,19.57,SO,2023-01-26 01:11:01
265,Havelock,34.8791,-76.9013,69.78,84,100,13.0,US,2023-01-26 01:11:02
266,Nsanje,-16.92,35.262,72.23,98,100,2.66,MW,2023-01-26 01:11:03
267,Riyadh,24.6877,46.7219,55.54,89,94,4.12,SA,2023-01-26 01:10:51
268,Bugulma,54.55,52.8,9.72,98,100,10.02,RU,2023-01-26 01:11:03
269,Ola,59.5833,151.2833,11.17,71,100,19.55,RU,2023-01-26 01:11:04
270,Koslan,63.4564,48.8989,33.33,97,100,14.52,RU,2023-01-26 01:11:05
271,Caronport,50.4501,-105.8179,9.9,97,47,6.17,CA,2023-01-26 01:11:05
272,Silifke,36.3778,33.9344,52.92,48,0,7.11,TR,2023-01-26 01:09:19
273,Lafia,8.4833,8.5167,79.95,17,5,1.43,NG,2023-01-26 01:08:16
274,Tambopata,-12.7333,-69.1833,73.76,94,73,1.3,PE,2023-01-26 01:11:06
275,Babu,24.4167,111.5167,49.32,72,100,1.52,CN,2023-01-26 01:11:06
276,Kokuy,52.2037,117.5529,-34.35,99,52,1.3,RU,2023-01-26 01:11:07
277,Wagga Wagga,-35.1167,147.3667,95.59,35,13,1.01,AU,2023-01-26 01:11:07
278,Bonavista,48.6499,-53.1147,21.94,65,22,18.14,CA,2023-01-26 01:11:08
279,Nedjo,9.5046,35.5019,60.64,37,10,3.98,ET,2023-01-26 01:11:08
280,Koygorodok,60.445,50.9968,28.11,95,100,13.98,RU,2023-01-26 01:11:09
281,Tabou,4.423,-7.3528,78.26,87,100,5.91,CI,2023-01-26 01:11:09
282,Melito Di Porto Salvo,37.9222,15.7714,50.74,87,100,3.44,IT,2023-01-26 01:11:10
283,Aksu,41.1231,80.2644,8.56,84,100,4.34,CN,2023-01-26 01:11:10
284,Tasiilaq,65.6145,-37.6368,26.76,96,100,21.03,GL,2023-01-26 01:11:11
285,Vijayawada,16.5167,80.6167,66.15,94,8,0.0,IN,2023-01-26 01:11:11
